code,disease,primary
D48,новообразувани неопредел неизвест характер неуточн локализаци,1
D50,желязонедоимъч анем,1
D51,витами b12 недоимъч анем,1
D52,фолиевонедоимъч анем,1
D53,анеми свърза хранен,1
D55,анем дължа ензим наруш,1
D56,таласем,1
D57,сърповид клетъч наруш,1
D58,наследств хемолитич анеми,1
D59,придоби хемолитич анем,1
D60,придоби чист аплази еритроцит еритробластоп,1
D61,апластич анеми,1
D62,ост постхеморагич анем,1
D63,анем хронич болест класифицира другад,1
D64,анеми,1
D65,дисеминира вътресъдов съсирван,1
D66,вроден дефицит фактор viii,1
D67,вроден дефицит фактор ix,1
D68,наруш кръвосъсирван,1
D69,пурпур хеморагич състоян,1
D70,агранулоцитоз,1
D71,функционал наруш полиморфно ядр неутрофил,1
D72,наруш бели кръвн клетк,1
D73,болест дала,1
D74,метхемоглобинем,1
D75,болест кръвт кръвотвор орга,1
D76,отдел болест протич включван лимфоретикул тъка ретикулохистиоцитар систем,1
D77,наруш кръвт кръвотвор орга болест класифицира другад,1
D80,имунодефицит преобладава недостиг антит,1
D81,комбинира имунодефицит състоян,1
D82,имунодефицит свърза значител дефект,1
D83,обикнов променлив имунодефицит,1
D84,имунодефицит,1
D86,саркоидоз,1
D89,наруш включван имун механиз некласифицира другад,1
E00,синдром вроден йоден недоимъ,1
E01,болест щитовид жлеза свърза йоден недоимъ сродн състоян,1
E02,субклинич хипотиреоидиз причин йоден недоимъ,1
E03,видов хипотиреоидиз,1
E04,видов нетоксич гуша,1
E05,тиреотоксикоз хипертиреоидиз,1
E06,тиреоидит,1
E07,болест щитовид жлеза,1
E10,инсулинозавис захар диабет,1
E11,неинсулинозавис захар диабет,1
E12,захар диабет свърза недоимъч хранен,1
E13,уточн видов захар диабет,1
E14,захар диабет неуточн,1
E15,недиабет хипогликемич кома,1
E16,разстройств ендокрин секреци панкреас,1
E20,хипопаратиреоидиз,1
E21,хиперпаратиреоидиз разстройств паращитовид жлези,1
E22,хиперфункци хипофиз,1
E23,хипофункци разстройств хипофиз,1
E24,синдром cushing,1
E25,адреногенитал разстройств,1
E26,хипералдостерониз,1
E27,разстройств надбъбреч жлези,1
E28,дисфункци яйчни,1
E29,дисфункци тестис,1
E30,наруш пуберте некласифицира другад,1
E31,полигландулар дисфункци,1
E32,болест тимус,1
E34,ендокрин разстройств,1
E35,разстройств ендокрин жлези болест класифицира другад,1
E40,квашиоркор,1
E41,алиментар мараз,1
E42,квашиоркор мараз,1
E43,тежк белтъч калори недохранван неуточн,1
E44,белтъч калори недохранван умер лека степен,1
E45,изоставан развити дължа белтъч калори недохранван,1
E46,белтъч калори недохранван неуточн,1
E50,недоимъ витами a,1
E51,недоимъ тиами,1
E52,недоимъ ниацин пелагр,1
E53,недоимъ витамин групат b,1
E54,недоимъ аскорбинов кисели,1
E55,недоимъ витами d,1
E56,недоимъ витамин,1
E58,недоимъ калци храна,1
E59,недоимъ селен храна,1
E60,недоимъ цинк храна,1
E61,недоимъ хранител елемент,1
E63,видов недоимъ храна,1
E64,последи недохранван хранител недоимъ,1
E65,локализира затлъстяван,1
E66,затлъстяван,1
E67,видов прехранван,1
E68,последи прехранван,1
E70,разстройств обмя аромат аминокиселин,1
E71,разстройств обмя аминокиселин разклон вери маст киселин,1
E72,разстройств обмя аминокиселин,1
E73,непоносимост лактоз,1
E74,разстройств обмя въглехидрат,1
E75,разстройств обмя сфинголипид наруш натрупван липид,1
E76,разстройств обмя глюкозаминоглика,1
E77,разстройств обмя глюкопротеин,1
E78,разстройств обмя липопротеин липидеми,1
E79,разстройств обмя пури пиримидин,1
E80,разстройств обмя порфири билируби,1
E83,разстройств минерал обмя,1
E84,кистоз фиброз,1
E85,амилоидоз,1
E86,намаляван обем течност,1
E87,разстройств водн електролит алкал киселин баланс,1
E88,разстройств обмя веществ,1
E89,ендокрин метаболит разстройств възникн медицинск процедур некласифицира другад,1
E90,разстройств хранен обмя веществ болест класифицира другад,1
F00,деменци болест alzheimer g30,1
F01,съдов деменци,1
F02,деменци болест класифицира другад,1
F03,деменци неуточн,1
F04,органич амнестич синдром непредизвика алкохол психоактив веществ,1
F05,делир непредизвика алкохол психоактив веществ,1
F06,психич разстройств дължа увреждан дисфункци главни мозъ соматич болест,1
F07,разстройств личност поведени дължа болест увреждан дисфункци главни мозъ,1
F09,органич симптоматич психич разстройств неуточн,1
F10,психич поведенческ разстройств дължа употреб алкохол,1
F11,психич поведенческ разстройств дължа употреб опиоид,1
F12,психич поведенческ разстройств дължа употреб канабиноид,1
F13,психич поведенческ разстройств дължа употреб седатив сънотвор средств,1
F14,психич поведенческ разстройств дължа употреб кокаин,1
F15,психич поведенческ разстройств дължа употреб стимулант включител кофеин,1
F16,психич поведенческ разстройств дължа употреб халюциноген,1
F17,психич поведенческ разстройств дължа употреб тютюн,1
F18,психич поведенческ разстройств дължа употреб летлив разтворит,1
F19,психич поведенческ разстройств дължа комбинира употреб употреб психоактив веществ,1
F20,шизофрен,1
F21,шизотип разстройств,1
F22,персистира налуд разстройств,1
F23,ост преход психотич разстройств,1
F24,индуцира налуд разстройств,1
F25,шизоафектив разстройств,1
F28,неорганич психотич разстройств,1
F29,неорганич психоз неуточн,1
F30,мани епизод,1
F31,биполяр афектив разстройств,1
F32,депресив епизод,1
F33,рецидивира депресив разстройств,1
F34,персистира разстройств настроени афектив разстройств,1
F38,разстройств настроени афектив разстройств,1
F39,разстройств настроени афектив разстройств неуточн,1
F40,фоби тревож разстройств,1
F41,тревож разстройств,1
F42,обсесив компулсив разстройств,1
F43,реакци тежък стрес разстройств адаптаци,1
F44,дисоциатив конверсион разстройств,1
F45,соматоформн разстройств,1
F48,невротич разстройств,1
F50,разстройств хранен,1
F51,неорганич разстройств съня,1
F52,сексуал дисфункци непредизвика органич разстройств заболяван,1
F53,психич поведенческ разстройств свърза послеродов период некласифицира другад,1
F54,психологич поведенческ фактор свърза разстройств болест класифицира другад,1
F55,злоупотреб веществ непредизвиква зависимост,1
F59,поведенческ синдром свърза физиологич наруш соматич фактор неуточн,1
F60,специфич разстройств личност,1
F61,смесен разстройств личност,1
F62,трайн промен личност недължа мозъч увреждан заболяван,1
F63,разстройств нави влечен,1
F64,разстройств полов идентитет,1
F65,разстройств сексуал влечени,1
F66,психологич поведенческ разстройств свърза сексуал развити насоченост,1
F68,разстройств личност поведени зряла възраст,1
F69,разстройств личност поведени зряла възраст неуточн,1
F70,лека умств изостаналост,1
F71,умер умств изостаналост,1
F72,тежк умств изостаналост,1
F73,дълбо умств изостаналост,1
F78,умств изостаналост,1
F79,умств изостаналост неуточн,1
F80,специфич разстройств развити речт ези,1
F81,специфич разстройств развити училищ умен,1
F82,специфич разстройств развити двигател функци,1
F83,смесен специфич разстройств психологич развити,1
F84,генерализира разстройств развити,1
F88,разстройств психологич развити,1
F89,разстройств психологич развити неуточн,1
F90,хиперкинетич разстройств,1
F91,разстройств поведени,1
F92,смесен разстройств поведени емоци,1
F93,емоционал разстройств нача типич детств,1
F94,разстройств социал функциониран нача типич детств юношеств,1
F95,тиков разстройств,1
F98,поведенческ емоционал разстройств нача типич детств юношеств,1
F99,психич разстройств допълнител уточн,1
G00,бактериал менингит некласифицира другад,1
G01,менингит бактериал болест класифицира другад,1
G02,менингит инфекциоз паразит болест класифицира другад,1
G03,менингит дължа неуточн причин,1
G04,енцефалит миелит енцефаломиелит,1
G05,енцефалит миелит енцефаломиелит болест класифицира другад,1
G06,вътречереп вътрегръбнач абсцес гранулом,1
G07,вътречереп вътрегръбнач абсцес гранулом болест класифицира другад,1
G08,вътречереп вътрегръбнач флеби тромбофлеби,1
G09,последи възпалител болест централ нерв систем,1
G10,болест huntington,1
G11,наследств атакси,1
G12,спинал мускул атрофи сродн синдром,1
G13,систем атрофи засяга централ нерв систем болест класифицира другад,1
G20,болест parkinson,1
G21,вторич паркинсониз,1
G22,паркинсониз болест класифицира другад,1
G23,дегенератив болест базал гангли,1
G24,дистони,1
G25,екстрапирамид двигател наруш,1
G26,екстрапирамид двигател наруш болест класифицира другад,1
G30,болест алцхаймер,1
G31,дегенератив болест нерв систем некласифицира другад,1
G32,дегенератив наруш нерв систем болест класифицира другад,1
G35,множеств склероз,1
G36,форм ост дисеминира демиелинизаци,1
G37,демиелинизира болест централ нерв систем,1
G40,епилепси,1
G41,епилептич статус,1
G43,мигр,1
G44,синдром главоболи,1
G45,преход церебрал исхемич пристъп атак сродн синдром,1
G46,мозъчносъдов синдром цереброваскулар болест i60 i67,1
G47,наруш съня,1
G50,уврежда троич нерв,1
G51,уврежда лицев нерв,1
G52,уврежда черепномозъч нерв,1
G53,уврежда черепномозъч нерв болест класифицира другад,1
G54,уврежда нерв коренче плексус,1
G55,притискан нерв коренче плексус болест класифицира другад,1
G56,мононевропати горен крайни,1
G57,мононевропати долен крайни,1
G58,мононевропати,1
G59,мононевропат болест класифицира другад,1
G60,наследств идиопатич невропат,1
G61,възпалител полиневропат,1
G62,полиневропати,1
G63,полиневропати болест класифицира другад,1
G64,уврежда перифер нерв систем,1
G70,myasthenia gravis уврежда нерв мускул синапс,1
G71,първич мускул уврежда,1
G72,миопати,1
G73,уврежда нерв мускул синапс мускул болест класифицира другад,1
G80,детск церебрал парали,1
G81,хемиплеги,1
G82,параплеги тетраплеги,1
G83,паралитичин синдром,1
G90,разстройств вегететив автоном нерв систем,1
G91,хидроцефа,1
G92,токсич енцефалопат,1
G93,уврежда главни мозъ,1
G94,уврежда главни мозъ болест класифицира другад,1
G95,болест гръбнач мозъ,1
G96,уврежда централ нерв систем,1
G97,уврежда нерв систем медицинск процедур некласифицира другад,1
G98,уврежда нерв систем некласифицира другад,1
G99,уврежда нерв систем болест класифицира другад,1
H00,хордеолум халацион,1
H01,възпал клепач,1
H02,болест клепач,1
H03,уврежда клепач болест класифицира другад,1
H04,болест слъзни апара,1
H05,болест орби,1
H06,уврежда слъзни апара орби болест класифицира другад,1
H10,конюнктиви,1
H11,болест kонюнктив,1
H13,уврежда конюнктив болест класифицира другад,1
H15,болест склера,1
H16,кератит,1
H17,цикатрикс мътнин роговиц,1
H18,болест роговиц,1
H19,уврежда склера роговиц болест класифицира другад,1
H20,иридоциклит,1
H21,болест ири цилиар тяло,1
H22,уврежда ири цилиар тяло болест класифицира другад,1
H25,старческ катаракт,1
H26,видов катаракт,1
H27,болест леща,1
H28,катаракт уврежда леща болест класифицира другад,1
H30,хориоретинал възпалени,1
H31,болест хориоиде,1
H32,хориоретинал наруш болест класифицира другад,1
H33,отлепван разкъсван ретин,1
H34,оклузи съдов ретин,1
H35,болест ретин,1
H36,уврежда ретин болест класифицира другад,1
H40,глауком,1
H42,глауком болест класифицира другад,1
H43,болест стъкловид тяло,1
H44,болест очн ябълк,1
H45,уврежда стъкловид тяло очн ябълк болест класифицира другад,1
H46,неври зрител нерв,1
H47,болест зрител 2 нерв зрител пътищ,1
H48,уврежда зрител 2 нерв зрител пътищ болест класифицира другад,1
H49,паралитич страбиз,1
H50,форм страбиз,1
H51,наруш бинокулар движени,1
H52,наруш рефракци акомодаци,1
H53,разстройств зрени,1
H54,слепот намал зрени,1
H55,нистагъм непроизвол движен очи,1
H57,болест око придатъ,1
H58,уврежда око придатъ болест класифицира другад,1
H59,увреждан око придатъ медицинск процедур,1
H60,външ отит,1
H61,болест външ ухо,1
H62,уврежда външ ухо болест класифицира другад,1
H65,негно възпалени средно ухо,1
H66,гнойн неуточн възпалени средно ухо,1
H67,възпалени средно ухо болест класифицира другад,1
H68,възпалени запушван евстахиев тръба,1
H69,болест евстахиев тръба,1
H70,мастоидит сродн състоян,1
H71,холестеатом средно ухо,1
H72,перфораци тъпанче,1
H73,болест тъпанче,1
H74,болест средно ухо мастоид израстъ,1
H75,уврежда средно ухо мастоид израстъ болест класифицира другад,1
H80,отосклероз,1
H81,нарушени вестибулар функци,1
H82,вестибулар синдром болест класифицира другад,1
H83,болест вътреш ухо,1
H90,глухот свърза нарушени провеждан звука кондуктив невросензор загуб слуха,1
H91,загуб слуха,1
H92,оталги отделя ухот,1
H93,болест ухот некласифицира другад,1
H94,уврежда ухот болест класифицира другад,1
H95,уврежда ухот мастоид израстъ медицинск процедур некласифицира другад,1
I00,ревматиз данн засяган сърц,1
I01,ревматиз засяган сърц,1
I02,ревматич хоре,1
I05,ревматич болест митрал клапа,1
I06,ревматич болест аорт клапа,1
I07,ревматич болест трикуспидал клапа,1
I08,болест клапи,1
I09,ревматич болест сърц,1
I10,есенциал първич хипертони,1
I11,хипертонич болест сърц,1
I12,хипертонич бъбре хипертонич бъбреч болест,1
I13,съчетани хипертонич сърц хипертонич бъбре,1
I15,вторич хипертони,1
I20,стенокард,1
I21,ост инфаркт миокард,1
I22,повтор инфаркт миокард,1
I23,текущ усложн ост инфаркт миокард,1
I24,форм ост исхемич болест сърц,1
I25,хронич исхемич болест сърц,1
I26,белодроб емболиз,1
I27,форм белодроб сърц,1
I28,болест белодроб съдов,1
I30,ост перикардит,1
I31,болест перикард,1
I32,перикардит болест класифицира другад,1
I33,ост подост ендокардит,1
I34,неревматич болест митрал клапа,1
I35,неревматич болест аорт клапа,1
I36,неревматич болест трикуспидал клапа,1
I37,болест пулмонал клапа,1
I38,ендокардит уточняван засегн клапа,1
I39,ендокардит уврежда сърдеч клапи болест класифицира другад,1
I40,ост миокардит,1
I41,миокардит болест класифицира другад,1
I42,кардиомиопат,1
I43,кардиомиопат болест класифицира другад,1
I44,атриовентрикулар блок ляв бедр блок,1
I45,провод наруш,1
I46,спиран сърц,1
I47,пароксизмал тахикард,1
I48,предсърд мъжден трептен,1
I49,сърдеч аритми,1
I50,сърдеч недостатъчност,1
I51,усложн неточ определ болест сърц,1
I52,уврежда сърц болест класифицира другад,1
I60,субарахноидал кръвоизлив,1
I61,вътремозъч кръвоизлив,1
I62,нетравматич вътремозъч кръвоизлив,1
I63,мозъч инфаркт,1
I64,инсулт неуточн кръвоизлив инфаркт,1
I65,оклузи стеноз прецеребрал артери предизвика мозъч инфаркт,1
I66,оклузи стеноз церебрал артери предизвика мозъч инфаркт,1
I67,мозъчносъдов болест,1
I68,мозъчносъдов уврежда болест класифицира другад,1
I69,последи мозъчносъдов болест,1
I70,атеросклероз,1
I71,аневриз дисекаци аорт,1
I72,видов аневриз,1
I73,болест перифер съдов,1
I74,артериал ембо тромбоз,1
I77,болест артери артериол,1
I78,болест капиляр,1
I79,уврежда артери артериол капиляр болест класифицира другад,1
I80,флеби тромбофлеби,1
I81,тромбоз портал вена,1
I82,ембо тромбоз вени,1
I83,варикоз вени долн крайни,1
I84,хемороид,1
I85,вари хранопровод,1
I86,варикоз вени локализаци,1
I87,уврежда вени,1
I88,неспецифич лимфаденит,1
I89,неинфекциоз болест лимфни съдов лимфни възл,1
