ICD10,Text
R17,иктер виж жълтениц
P93,интоксикаци лекарств новород
A89,инфекци инфектира опортюнистич вирус централ нерв систем
J22,инфекци инфектира опортюнистич респиратор тракт долен отдел ост
J22,инфекци инфектира опортюнистич респиратор тракт ост
B89,инфестаци паразит паразит
T58,инхалиран въглерод окис
T58,карбоксихемоглобинем
L86,кератоз дефицит витами
R12,киселин стома вода
B89,кист колоид мукоз ретенцион обикнов паразит
F73,коефициент интелигентност iq под 20
P90,конвулси идиопатич новород
R90,лези поражени нетравматич интракраниал обем
N63,маса гърд
R98,намиран труп неизвест причин смъртта
S16,нараняван мускул сухожили шия ниво
T07,нараняван множеств локализаци
E58,нарушени наруш абсорбци калци
O25,недохранван време бременност раждан пуерпериум
R15,незадържан анал сфинктер
R15,незадържан фекали фекал
M82,остеопороз дължа ендокрин заболяван
M82,остеопороз дължа мултипл миелом 3
R36,отделян пенис
R36,отделян уретр
S18,откъсван травматич глава вътречереп пълн
B89,паразитиз
R13,парали паралитич пълн непъл акт гълтан
L62,пахидермопериостоз бухалковид нокт
R12,пироз
L26,питириазис hebra
J14,пневмони ост двойн мигрира гнойн септич неуточн бронхо бронхиал конфлуира крупоз дифуз дисеминира включва лобов лобар причин haemophilus influenzae
J14,пневмони ост двойн мигрира гнойн септич неуточн лобар причин дисеминира интерстициал haemophilus influenzae
J14,пневмони ост двойн мигрира гнойн септич неуточн дължа haemophilus influenzae h influenzae
J14,пневмони ост двойн мигрира гнойн септич неуточн haemophilus influenzae бронхо лобар
R72,повишаван висок повиш левкоцит
R17,пожълтяван виж жълтениц
R71,пойкилоцитоз
O97,последи акушерск причин
B92,последи болест hansen лепр
T97,последи отравян дължа веществ нелекарств произход
T96,последи отравян дължа лекарств средств медикамент биологич веществ
B91,последи полиомиелит ост
T97,последи токсич ефект веществ нелекарств произход
T96,последи токсич ефект лекарств средств медикамент биологич веществ
B24,придоби имунодефицит синдром спин виж чове вирус имунодефицит hiv болест предизвика
P90,припад новород
R13,проблем свърза гълтан
F69,проблем свърза поведенческ зряла възраст
F24,психоз психотич индуцира
F59,психологич поведенческ фактор влияещ медицинск състояни
F83,развити забав смесен умен
F69,разстройств зряла възраст поведени
F24,разстройств налуд индуцира
F24,разстройств психотич дължа индуцира
F89,разстройств развити
F83,разстройств развити смесен
F88,разстройств развити уточн
P93,реакци медикамент новород
R33,ретенци ретенцион ури
B09,розеол
E59,селенов недоимъ храна
P93,сиво бебе синдром новород
P93,спин заболяван сивот бебе
S87,смазван смаза смачкван коля
S87,смазван смаза смачкван крак подбедриц
S47,смазван смаза смачкван подмишниц
S47,смазван смаза смачкван рамо мишниц
S47,смазван смаза смачкван ръка мишниц рамо
S47,смазван смаза смачкван скапулар област
O97,смърт акушерск неуточн причин годин раждан
O96,смърт акушерск неуточн причин 42 дни годин раждан
R98,смърт свидет неуточн причин
B24,спин свърза комплекс виж болест предизвика вирус човешк имунодефицит hiv
R33,спиран блок ури
B24,сск спин свърза комплекс виж чове болест предизвика имунодефицит вирус hiv
R33,стаза засто ури
F73,субнормалност умств дълбо
T08,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира гръбнач прешлен прешлен гръб тяло стълб неврал дъга краче бодилообраз израстъ напре трансверзал израстъ
T10,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира крайни горен
T12,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира крайни долен
A99,треск хеморагич предава артропод вирус
R13,труден трудност поглъщан виж дисфаг
G01,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз менинг менингит базилар голямомозъч гръбначномозъч гръбнач
R98,умр медицинск наблюдени причин неизвест
R33,ури ретенци стаза задържан
E58,хипокалцием алиментар
T68,хипотерми инцидент дължа
T68,хипотерми инцидент дължа ниск температур окол среда
R51,цефалги виж главоболи
E60,цинк недоимъ храна
B24,чове човешк болест предизвика имунодефицит вирус hiv инфекци
T16,чужд тяло влиза отвор слухов кана
T16,чужд тяло влиза отвор ухо външ
T16,чужд тяло влиза отвор ушн мида
L97,язв разязв улцерира улцераци язв долен крайни атрофич хронич безболезн невроген перфорира пиоген трофич тропическ
L97,язв разязв улцерира улцераци язв долен крайни атрофич хронич безболезн невроген перфорира пиоген трофич тропическ перфорира
L97,язв разязв улцерира улцераци язв кожа атрофич хронич невроген перфорира пиоген трофич долен крайни
L97,язв разязв улцерира улцераци язв пета виж язв долен крайни
F24,folie deux индуцира налуд разстройств
L26,hebra питириазис
E59,keshan болест
R86,астеносперми
F78,хиперхиломикронем фамил първич
