ICD10,Text
C44.8,лези излиза грани посоч локализаци кожат
C47.0,перифер нерв глават лицет шият
C47.1,перифер нерв горен крайни включител област рамен пояс
C47.2,перифер нерв долен крайни включител тазобедр област
C47.3,перифер нерв торакс
C47.4,перифер нерв корем
C47.5,перифер нерв таза
C47.6,злокачеств новообразувани перифер нерв тялот неуточн
C47.8,лези излиза грани посоч локализаци перифер нерв вегетатив нерв систем
C49.0,съединител меки тъка глават лицет шият
C49.1,съединител меки тъка горен крайни включител област рамен пояс
C49.2,съединител меки тъка долен крайни включител тазобедр област
C49.3,съединител меки тъка гръдни кош
C49.4,съединител меки тъка корем
C49.5,съединител меки тъка таза
C49.6,съединител меки тъка тялот неуточн локализаци
C49.8,лези излиза грани посоч локализаци съединител меки тъка
C51.8,лези излиза грани посоч локализаци вулв
C57.7,уточн част женск полов орга
C57.8,лези излиза грани посоч локализаци женск полов орга
C57.9,женск полов орга неуточн локализаци
C68.8,лези излиза грани посоч локализаци пикоч орга
C69.5,слъзн жлеза кана
C69.8,лези излиза грани посоч локализаци око придатъ
C69.9,око неуточн част
C70.0,церебрал менинг
C70.9,злокачеств новообразувани менинг неуточн
C71.8,лези излиза грани посоч локализаци главни мозъ
C72.1,конск опашк кауд еквин
C72.2,обонятел нерв олфактор
C72.3,зрител нерв
C75.2,краниофарингеал кана
C75.8,лези ендокрин жлеза неуточн
C76.0,глава лице шия
C76.2,корем
C76.3,
C76.4,горен крайни
C76.5,долен крайни
C76.8,лези излиза грани посоч локализаци неточ определ локализаци
C77.0,лимфн възл глава лице шия
C77.1,интраторакал лимфн възл
C77.2,интраабдоминал лимфн възл
C77.3,лимфн възл подмишниц горни крайни
C77.4,лимфн възл ингвинал област долни крайни
C77.5,лимфн възл таза
C77.8,лимфн възл множеств локализаци
C77.9,лимфн възл неуточн локализаци
C78.0,вторич злокачеств новообразувани бели дроб
C78.1,вторич злокачеств новообразувани медиастинум
C78.2,вторич злокачеств новообразувани плевр
C78.3,вторич злокачеств новообразувани неуточн дихател орга
C78.4,вторич злокачеств новообразувани тънк черв
C78.5,вторич злокачеств новообразувани дебел черв ректум
C78.7,вторич злокачеств новообразувани черни дроб
C78.8,вторич злокачеств новообразувани неуточн храносмилател орга
C79.0,вторич злокачеств новообразувани бъбре бъбреч легенче
C79.2,вторич злокачеств новообразувани кожат
C79.3,вторич злокачеств новообразувани главни мозъ мозъч обвивк
C79.4,вторич злокачеств новообразувани неуточн част нерв систем
C79.7,вторич злокачеств новообразувани надбъбреч жлеза
C79.8,вторич злокачеств новообразувани уточн локализаци
C84.2,т зонов лимфом
C88.7,злокачеств имунопролифератив болест
C93.2,подост моноцит левкем
C93.7,моноцит левкем
C94.5,ост миелофиброз
C95.1,хронич левкем неуточн клетъч тип
C95.2,подост левкем неуточн клетъч тип
C95.7,левкем неуточн клетъч тип
C96.7,уточн злокачеств новообразува лимфна кръвотвор сродн тъка
C96.9,злокачеств новообразувани лимфна кръвотвор сродн тъка неуточн
C97,злокачеств новообразува самостоятел първич множеств локализаци
D01.1,ректосигмоидал област
D01.3,анус анал кана
D01.7,уточн храносмилател орга
D01.9,храносмилател орга неуточн
D02.4,дихател систем неуточн част
D03.0,меланом in situ уст
D04.1,кожа клепач включител ръбов
D04.5,кожа тялот
D04.8,кожа локализаци
D06.0,ендоцервикс
D06.1,екзоцервикс
D07.2,влагалищ
D07.3,неуточн женск полов орга
D07.6,неуточн мъжк полов орга
D09.3,щитовид ендокрин жлези
D09.7,карцином in situ уточн локализаци
D10.5,част орофаринкс
D10.9,фаринкс неуточн
D12.2,възходя част асценденс колон
D12.3,напреч част трансверзум колон
D12.4,низходя част десценденс колон
D12.5,сигмоидал част колон
D12.7,ректосигмоидал област
D12.9,анус анал кана
D13.2,дванадесетопръстни дуоденум
D13.3,неуточн част тънк черв
D13.9,неточ определ локализаци храносмилател систем
D14.1,ларинкс
D14.3,бронхи бял дроб
D14.4,дихател систем неуточн локализаци
D15.7,уточн орга гръдни кош
D15.9,орга гръдни кош неуточн
D16.2,дълги кост долен крайни
D17.1,доброкачеств новообразувани маст тъка кожат подкож тъка тялот
D17.2,доброкачеств новообразувани маст тъка кожат подкож тъка крайни
D20.0,ретроперитонеум
D21.0,съединител меки тъка глават лицет шият
D21.1,съединител меки тъка горен крайни включител област рамен пояс
D21.2,съединител меки тъка долен крайни включител тазобедр област
D21.3,съединител меки тъка гръдни кош
D21.4,съединител меки тъка корем
D21.5,съединител меки тъка таза
D21.6,съединител меки тъка тялот неуточн част
D21.9,съединител меки тъка неуточн локализаци
D22.0,меланоцит невус уст
D22.1,меланоцит невус клепач включител ъгл клепач цепк
D23.0,кожа уст
D23.1,кожа клепач включител ъгл клепач цепк
D23.2,кожа ухот външ слухов кана
D23.5,кожа тялот
D23.6,кожа горен крайни включител област рамен пояс
D23.7,кожа долен крайни включител тазобедр област
D26.0,шийк матк
D26.1,тяло матк
D26.7,част матк
D28.1,влагалищ
D28.7,уточн женск полов орга
D28.9,женск полов орга неуточн локализаци
D29.3,епидид
D29.7,мъжк полов орга
D30.1,бъбреч легенче
D30.2,уретер
D30.3,пикоч мехур
D30.4,уретр
D30.7,пикоч орга
D31.0,конюнктив
D31.3,хориоиде
D31.5,слъзн жлеза кана
D31.9,око неуточн част
D32.0,обвивк главни мозъ
D32.1,обвивк гръбнач мозъ
D33.1,главен мозъ инфратенториум
D33.2,главен мозъ неуточн част
D33.9,централ нерв систем неуточн локализаци
D35.3,краниофарингеал кана
D35.4,епифиз пинеал жлеза
D35.5,каротид телц
D35.7,уточн ендокрин жлези
D35.8,лези ендокрин жлеза
D37.1,стома
D37.2,тънк черв
D37.4,колон
D37.5,ректум
D37.6,черен дроб жлъчен мехур жлъчн пътищ
D37.9,храносмилател орга неуточн
D38.0,ларинкс
D38.2,плевр
D38.3,медиастинум
D38.5,дихател орга
D38.6,дихател орга неуточн
D39.7,женск полов орга
D39.9,женск полов орга неуточн
D40.0,прост
D40.7,мъжк полов орга
D40.9,мъжк полов орга неуточн
D41.3,уретр
D41.7,пикоч орга
D41.9,пикоч орга неуточн
D42.0,менинг главни мозъ
D42.1,менинг гръбнач мозъ
D42.9,менинг неуточн
D43.0,главен мозъ супратенториум
D43.1,главен мозъ инфратенториум
D43.3,черепномозъч нерв
D43.4,гръбнач мозъ
D43.7,уточн част централ нерв систем
D43.9,централ нерв систем неуточн част
D44.0,щитовид жлеза
D44.1,надбъбреч жлеза
D44.4,краниофарингеал кана
D44.9,ендокрин жлеза неуточн
D46.0,рефрактер анем сидероблас определ
D46.4,рефрактер анем неуточн
D48.2,перифер нерв вегетатив нерв систем
D48.3,ретроперитонеум
D48.4,перитонеум
D48.5,кожа
D63.0,анем новообразува
D73.4,кист дала
D76.2,хемофагоцит синдром инфекци
D77,наруш кръвт кръвотвор орга болест класифицира другад
D82.9,имунодефицит свърза значител дефект неуточн
D83.0,обикнов променлив имунодефицит преобладава отклон броя функци b клетк
D83.1,обикнов променлив имунодефицит преобладава наруш имунорегулатор t клетк
D83.2,обикнов променлив имунодефицит автоантит b t клетк
D83.8,обикнов променлив имунодефицит състоян
D84.0,дефект функционал антиген 1 lfa 1 лимфоцит
E03.3,постинфекциоз хипотиреоидиз
E04.8,уточн видов нетоксич гуша
E24.4,индуцира алкохол псевд cushing синдром
E29.8,тестикулар дисфункци
E30.9,нарушени пуберте неуточн
E34.1,състоян хиперсекреци чревн хормон
E50.0,недоимъ витами a ксероз конюнктив
E61.0,недоимъ мед
E61.1,недоимъ желязо
E61.3,недоимъ манга
E61.4,недоимъ хром
E61.5,недоимъ молибд
E61.6,недоимъ ванади
E63.0,недоимъ есенциал маст киселин efa
E63.1,дисбаланс хранител съставк
E64.0,последи белтъч калори недохранван
E64.1,последи недоимъ витами a
E64.2,последи недоимъ витами c
E64.9,последи недоимъ хранител веществ неуточн
E66.1,медикаментоз предизвика затлъстяван
E68,последи прехранван
E73.1,вторич недоимъ лактаз
E73.8,видов непоносимост лактоз
E90,разстройств хранен обмя веществ болест класифицира другад
F01.0,съдов деменци ост нача
F01.2,подкоров съдов деменци
F01.3,смесен коров подкоров съдов деменци
F02.2,деменци болест huntington
F06.6,органич емоционал лабил астенич разстройств
F07.1,постенцефалит синдром
F20.6,обикнов шизофрен
F22.9,персистира налуд разстройств неуточн
F25.8,шизоафектив разстройств
F33.1,рецидивира депресив разстройств сегаш епизод умер тежък
F33.8,рецидивира депресив разстройств
F34.8,персистира разстройств настроени афектив разстройств
F38.0,разстройств настроени афектив разстройств единич епизод
F40.8,фоби тревож разстройств
F43.8,реакци тежък стрес
F51.8,неорганич разстройств съня
F52.8,сексуал дисфункци непредизвика органич разстройств заболяван
F53.8,психич поведенческ разстройств свърза послеродов период некласифицира другад
F53.9,послеродов психич разстройств неуточн
F62.1,трайн промя личност прекара психич заболяван
F64.0,транссексуалност
F64.8,разстройств полов идентитет
F64.9,разстройств полов идентитет неуточн
F65.6,множеств разстройств сексуал влечени
F66.8,разстройств психосексуал развити
F84.8,генерализира разстройств развити
F91.0,разстройств поведени огранич семейн обстанов
F92.0,депресив разстройств поведени
F94.8,разстройств социал функциониран детств
F94.9,разстройств социал функциониран детств неуточн
F98.5,заекван
F98.6,бърз реч
G00.3,стафиликоков менингит
G01,менингит бактериал болест класифицира другад
G02.8,менингит уточн инфекциоз паразит болест класифицира другад
G07,вътречереп вътрегръбнач абсцес гранулом болест класифицира другад
G13.8,систем атрофи засяга централ нерв систем болест класифицира другад
G22,паркинсониз болест класифицира другад
G23.9,дегенератив болест базал гангли неуточн
G25.1,тремор предизвика лекарств средств
G25.4,хоре предизвика лекарств средств
G26,екстрапирамид двигател наруш болест класифицира другад
G36.8,уточн форм ост дисеминира демиелинизаци
G43.3,усложн мигр
G44.1,съдов главоболи некласифицира другад
G44.4,главоболи свърза прием лекарств средств некласифицира другад
G45.3,преход слепот
G46.0,синдром средн мозъч артери
G46.1,синдром предн мозъч артери
G46.2,синдром задн мозъч артери
G46.5,чист двигател лакунар синдром
G46.6,чист сетив лакунар синдром
G46.7,лакунар синдром
G53.2,множеств уврежда черепномозъч нерв саркоидоз
G53.3,множеств уврежда черепномозъч нерв новообразува
G55.0,притискан нерв коренче плексус новообразува
G55.2,притискан нерв коренче плексус спондилоз
G55.3,притискан нерв коренче плексус дорзопати
G55.8,притискан нерв коренче плексус болест класифицира другад
G61.9,възпалител полиневропат неуточн
G63.1,полиневропат новообразува
G73.2,миастен синдром новообразува
G73.3,миастен синдром болест класифицира другад
G73.4,миопат инфекциоз паразит болест класифицира другад
G81.0,вяла хемиплеги
G81.1,спастич хемиплеги
G82.0,вяла параплеги
G83.1,моноплеги долен крайни
G91.3,посттравматич хидроцефа неуточн
G91.8,видов хидроцефа
G94.0,хидроцефа инфекциоз паразит болест класифицира другад
G94.1,хидроцефа новообразува
G94.2,хидроцефа болест класифицира другад
G99.1,уврежда вегетатив автоном нерв систем болест класифицира другад
H02.6,ксантелаз клепач
H06.1,паразит инвази орби болест класифицира другад
H10.3,ост конюнктиви неуточн
H13.2,конюнктиви болест класифицира другад
H17.0,левком адхерент
H17.1,централ мътнин роговиц
H25.9,старческ катаракт неуточн
H33.5,форм отлепван ретин
H43.9,болест стъкловид тяло неуточн
H45.0,кръвоизлив стъкловид тяло болест класифицира другад
H47.7,болест зрител пътищ неуточн
H48.8,уврежда зрител нерв зрител пътищ болест класифицира другад
H49.3,пълн външ офталмоплеги
H52.6,наруш рефракци
H54.2,намал зрени очи
H54.3,неопредел загуб зрени очи
H54.5,намал зрени око
H54.6,неопредел загуб зрени око
H58.0,аномали функци зениц болест класифицира другад
H62.0,външ отит бактериал болест класифицира другад
H62.3,външ отит инфекциоз паразит болест класифицира другад
H62.8,уврежда външ ухо болест класифицира другад
H67.8,възпалени средно ухо болест класифицира другад
H72.0,централ перфораци тъпанче
H72.2,маргинал перфораци тъпанче
H75.8,уточн болест средно ухо мастоид израстъ класифицира другад
H82,вестибулар синдром болест класифицира другад
H90.1,едностран звукопровод загуб слуха нормал слух ухо
H90.4,едностран невросензор загуб слуха нормал слух ухо
H91.1,пресбиакузис
H91.2,внезап идиопатич загуб слуха
H93.1,шум уши субектив
I06.2,ревматич аорт стеноз инсуфициенци
I21.0,ост трансмурал инфаркт миокард предн стена
I21.1,ост трансмурал инфаркт миокард долн стена
I22.0,повтор инфаркт миокард предн стена
I22.8,повтор инфаркт миокард уточн локализаци
I22.9,повтор инфаркт миокард неуточн локализаци
I23.2,междукамер дефект текущ усложнени ост инфаркт миокард
I23.3,руптур сърдеч стена хемоперикард текущ усложнени ост инфаркт миокард
I23.5,руптур папилар мускул текущ усложнени ост инфаркт миокард
I23.6,тромбоз предсърди предсърд ухо камер текущ усложнени ост инфаркт миокард
I23.8,текущ усложн ост инфаркт миокард
I28.1,аневриз белодроб артери
I28.9,белодроб съдов болест неуточн
I34.2,неревматич митрал клапн стеноз
I34.9,неревматич болест митрал клапа неуточн
I36.0,неревматич трикуспидал клапн стеноз
I39.4,уврежда клапи болест класифицира другад
I45.0,десен фасцикулар блок
I45.2,бифасцикулар блок
I45.3,трифасцикулар блок
I46.0,спиран сърц успеш възстановяван сърдеч дейност
I51.0,дефект сърдеч прегра придоби
I51.2,руптур папилар мускул некласифицира другад
I52.1,сърдеч уврежда инфекциоз паразит болест класифицира другад
I60.1,субарахноидал кръвоизлив средн мозъч артери
I60.2,субарахноидал кръвоизлив предн свързва артери
I60.3,субарахноидал кръвоизлив задн свързва артери
I60.4,субарахноидал кръвоизлив базилар артери
I60.5,субарахноидал кръвоизлив вертебрал артери
I61.2,вътремозъч кръвоизлив хемисфер неуточн
I61.6,вътремозъч кръвоизлив множеств локализаци
I63.6,мозъч инфаркт причин тромбоз мозъч вена непиоген
I67.0,дисекаци церебрал артери руптур
I68.2,мозъч артериит болест класифицира другад
I69.1,последи вътремозъч кръвоизлив
I69.2,последи нетравматич вътречереп кръвоизлив
I69.8,последи неуточн мозъчносъдов болест
I72.1,аневриз артери горен крайни
I72.2,аневриз бъбреч артери
I72.3,аневриз илиач артери
I77.5,некроз артери
I84.2,вътреш хемороид усложнени
I84.3,външ тромбозира хемороид
I84.7,тромбозира хемороид неуточн
I84.9,хемороид усложнени неуточн
I86.4,вари стома
I87.2,веноз инсуфициенци хронич перифер
I87.9,веноз увреждан неуточн
I95.0,идиопатич хипотони
I98.2,вари хранопровод болест класифицира другад
J01.4,ост пансинуит
J03.0,стрептококов тонзилит
J20.1,ост бронхит причин haemophilus influenzae
J20.3,ост бронхит причин коксак вирус
J20.4,ост бронхит причин парагрип вирус
J20.5,ост бронхит причин респиратор синцитиал вирус
J20.6,ост бронхит причин риновирус
J20.7,ост бронхит причин еховирус
J21.0,ост бронхиолит причин респиратор синцитиал вирус
J21.8,ост бронхиолит причин уточн агент
J30.2,сезон алергич ринит
J39.9,болест горн дихател пътищ неуточн
J43.2,центрилобулар емфиз
J44.0,хронич обструктив белодроб болест ост респиратор инфекци долн дихател пътищ
J45.8,смесен астма
J63.5,станоз
J66.1,болест работ лен
J66.2,канабиноз
J68.2,възпалени горн дихател пътищ причин химич веществ газов дим пари некласифицира другад
J68.8,респиратор състоян причин химич веществ газов дим пари
J68.9,респиратор състоян причин химич веществ газов дим пари неуточн
J85.3,абсцес медиастинум
J91,плеврал излив състоян класифицира другад
J93.9,пневмоторакс неуточн
J95.1,ост белодроб недостатъчност торакал хирургич намес
J96.1,хронич дихател недостатъчност
K01.0,вложен зъби
K02.2,кариес цимен
K02.3,преустанов зъбен кариес
K02.8,зъбен кариес
K03.9,болест твърд зъбн тъка неуточн
K07.4,анома захапк неуточн
K08.0,зъбн ексфолиаци дължа общ причин
K10.9,болест челюст неуточн
K13.1,прехапван буза уст
K29.1,ост гастри
K38.0,хиперплази апендикс
K38.2,дивертикул апендикс
K38.3,фистул апендикс
K38.9,болест апендикс неуточн
K40.1,двустран ингвинал херни гангр
K40.2,двустран ингвинал херни непроходимост гангр
K41.0,двустран феморал херни непроходимост гангр
K41.1,двустран феморал херни гангр
K41.2,двустран феморал херни непроходимост гангр
K42.1,пъпн херни гангренa
K42.9,пъпн херни непроходимост гангр
K43.0,вентрал херни непроходимост гангр
K43.1,вентрал херни гангр
K45.0,уточн абдоминал херни непроходимост гангр
K45.1,уточн абдоминал херни гангр
K51.0,улцероз хронич ентероколит
K51.1,улцероз хронич илеоколит
K51.2,улцероз хронич проктит
K51.5,мукоз проктоколит
K55.2,ангиодисплази колон
K55.8,съдов болест черв
K56.7,илеус неуточн
K57.0,дивертикул тънко черв перфораци абсцес
K57.5,дивертикул тънко дебел черв перфораци абсцес
K60.0,ост анал фисур
K60.1,хронич анал фисур
K60.5,аноректал фистул
K61.2,аноректал абсцес
K61.4,интрасфинктер абсцес
K62.0,анал полип
K62.2,пролапс анус
K66.9,увреждан перитонеум неуточн
K70.4,алкохол чернодроб недостатъчност
K71.2,токсич увреждан черни дроб протич ост хепатит
K71.3,токсич увреждан черни дроб протич хронич персистира хепатит
K71.4,токсич увреждан черни дроб протич хронич лобулар хепатит
K71.9,токсич увреждан черни дроб неуточн
K73.0,хронич персистира хепатит некласифицира другад
K73.1,хронич лобулар хепатит некласифицира другад
K73.8,хронич хепатит некласифицира другад
K74.0,фиброз черни дроб
K74.4,вторич билиар цироз
K75.2,неспецифич реактив хепатит
K81.8,видов холецистит
K86.9,болест задстомаш жлеза неуточн
K92.1,мелен
L04.8,ост лимфаденит локализаци
L10.5,пемфигус предизвика лекарств средств
L11.0,придоби фоликулар кератоз
L11.8,уточн акантолитич уврежда
L14,булоз уврежда кожат болест класифицира другад
L20.0,пруриг besnier
L21.8,форм себоре дерматит
L23.2,алергич контакт дерматит козметич средств
L23.4,алергич контакт дерматит бои
L24.0,иритатив контакт дерматит детергент
L24.1,иритатив контакт дерматит масл мазнин
L24.3,иритатив контакт дерматит козметич средств
L25.0,контакт дерматит козметич средств неуточн
L25.2,контакт дерматит бои неуточн
L25.5,контакт дерматит раст изключени хранител неуточн
L25.8,контакт дерматит агент неуточн
L28.1,пруриг нодуларис
L29.0,пруритус ани
L29.1,пруритус скроти
L29.2,пруритус вулв
L30.0,нумулар дерматит
L41.3,парапсориазис малк плаки
L41.4,парапсориазис голем плаки
L41.5,мрежовид парапсориазис
L41.8,форм парапсориазис
L44.2,лихен стриатус
L44.9,папулосквамоз увреждан неуточн
L45,папулосквамоз уврежда болест класифицира другад
L51.0,небулоз erythema multiforme
L51.8,видов erythema multiforme
L51.9,erythema multiforme неуточн
L52,erythema nodosum
L53.2,erythema marginatum
L54.0,erythema marginatum ост ревматиз
L54.8,еритем болест класифицира другад
L55.0,слънчев изгарян първ степен
L55.1,слънчев изгарян втора степен
L55.2,слънчев изгарян трета степен
L55.8,видов слънчев изгарян
L56.0,лекарств фототоксич реакци
L56.1,лекарств фотоалергич реакци
L56.9,ост изменени кожат причин ултравиолетов радиаци неуточн
L57.1,актинич ретикулоид
L57.2,cutis rhomboidalis nuchae
L57.3,пойкилодерми civatte
L57.5,актинич гранулом
L57.9,изменени кожат дължа хронич експозици нейонизира радиаци неуточн
L59.9,болест кожат подкож тъка предизвика радиаци неуточн
L60.1,онихоли
L62.8,измен нокт болест класифицира другад
L63.1,алопеци универсалис
L63.2,офиазис
L64.0,андроген алопеци предизвика лекарств средств
L64.8,видов андроген алопеци
L66.0,псевдопелагр
L66.8,форм цикатрициал алопеци
L66.9,цикатрициал алопеци неуточн
L68.8,форм хипертрихоз
L70.1,акн конглоб
L70.3,акн тропи
L70.4,акн детск възраст
L70.5,acne excoriee des jeunes filles
L71.0,периорал дерматит
L71.1,ринофим
L75.9,болест апокрин потн жлези неуточн
L81.0,постинфламатор хиперпигментаци
L81.2,лунич
L81.5,левкодерм некласифицира другад
L86,кератодерми болест класифицира другад
L87.8,болест трансепидермал елиминаци
L87.9,болест трансепидермал елиминаци неуточн
L91.9,хипертрофич увреждан кожат неуточн
L94.3,склеродактил
L94.5,пойкилодерм васкулар атрофиканс
L94.9,локализира изменени съединител тъка неуточн
L95.9,кожен васкулит неуточн
M00.0,стафилококов артри полиартри
M00.1,пневмококов артри полиартри
M00.2,стрептококов артри полиартри
M01.0,менингококов артри
M01.2,артри лаймск болест
M02.0,артропат чревн анастомоз
M02.9,реактив артропат неуточн
M03.0,постменингококов артри
M06.2,ревматоид бурсит
M06.3,ревматоид възл
M06.4,възпалител полиартропат
M07.1,инвалидизира артри
M07.2,псориатич спондилит
M07.4,артропат болест crohn регионал ентери
M07.5,артропат улцероз колит
M07.6,ентеропатич артропати
M08.9,юношеск артри неуточн
M09.1,юношеск артри болест crohn регионал ентери
M09.2,юношеск артри улцероз колит
M09.8,юношеск артри болест класифицира другад
M10.2,медикаментоз подагр
M10.4,вторич подагр
M12.1,болест kaschin beck
M13.0,полиартри неуточн
M14.0,подагроз артропат дължа ензим дефект наследств наруш
M16.2,дисплазич коксартроз двустран
M16.3,дисплазич коксартро
M16.4,посттравматич коксартроз двустран
M16.5,посттравматич коксартро
M16.7,вторич коксартро
M17.1,първич гонартро
M17.2,посттравматич гонартроз двустран
M17.3,посттравматич гонартро
M17.4,вторич гонартро двустран
M17.5,вторич гонартро
M18.0,първич артроз първ карпо метакарпал става двустран
M18.1,първич артро първ карпо метакарпал става
M18.2,посттравматич артроз първ карпо метакарпал става двустран
M18.3,посттравматич артро първ карпо метакарпал става
M18.4,вторич артро първ карпо метакарпал става двустран
M18.5,вторич артро първ карпо метакарпал става
M18.9,артроз първ карпо метакарпал става неуточн
M20.2,hallux rigidus
M20.6,придоби деформаци пръст крак неуточн
M22.1,рецидивира сублуксаци пател
M22.2,феморопателар уврежда
M22.9,увреждан пател неуточн
M23.6,спонтан руптур връзк колян става
M25.1,ставн фистул
M25.7,остеофит
M30.2,ювенил полиартериит
M36.2,артропат хемофил
M40.0,позицион кифоз
M40.1,вторич кифоз
M41.0,инфантил идиопатич сколиоз
M41.2,идиопатич сколиоз
M41.3,сколиоз гръдн аномали
M41.5,вторич сколиоз
M41.8,форм сколиоз
M43.3,рецидивира атлант аксис сублуксаци миелопат
M43.4,рецидивира атлант аксис сублуксаци
M43.5,рецидивира сублуксаци гръбнач стълб
M46.8,уточн възпалител спондилопати
M49.1,бруцелоз спондилит
M50.2,тип хернизаци междупрешлен диск шийни отдел
